cloth_temp,cloth_humi,envir_temp,time,rea_time
24,38,85,1,99
24,38,85,1,99
21,62,25.31,2,98
21,62,25.31,2,98
21,62,25.31,2,98
21,62,25.31,2,98
21,62,25.31,2,98
20,71,25.31,2,98
20,71,25.31,2,98
20,71,25.31,2,98
20,71,25.31,2,98
20,71,25.31,2,98
20,70,25.25,3,97
20,70,25.25,3,97
20,70,25.25,3,97
20,70,25.25,3,97
20,70,25.25,3,97
20,70,25.25,3,97
20,70,25.25,3,97
19,75,25.25,3,97
19,75,25.25,3,97
19,75,25.25,3,97
19,75,25.25,4,96
19,75,25.25,4,96
18,85,25.25,4,96
18,85,25.25,4,96
18,83,25.25,4,96
18,83,25.25,4,96
18,83,25.25,4,96
18,83,25.25,4,96
18,83,25.25,4,96
18,83,25.25,4,96
18,81,25.25,5,95
18,81,25.25,5,95
18,87,25.25,5,95
18,87,25.25,5,95
18,85,25.25,5,95
18,85,25.25,5,95
18,85,25.25,5,95
18,85,25.25,5,95
18,84,25.25,5,95
18,84,25.25,5,95
18,84,25.18,6,94
18,84,25.18,6,94
18,90,25.18,6,94
18,90,25.18,6,94
18,87,25.18,6,94
18,87,25.18,6,94
18,86,25.18,6,94
18,86,25.18,6,94
18,86,25.18,6,94
18,86,25.18,6,94
18,86,25.18,7,93
18,86,25.18,7,93
18,92,25.18,7,93
18,92,25.18,7,93
18,90,25.18,7,93
18,90,25.18,7,93
18,87,25.18,7,93
18,87,25.18,7,93
18,87,25.18,7,93
18,87,25.18,7,93
18,87,25.12,8,92
18,87,25.12,8,92
18,92,25.12,8,92
18,92,25.12,8,92
18,90,25.12,8,92
18,90,25.12,8,92
18,90,25.12,8,92
18,90,25.12,8,92
18,90,25.12,8,92
18,90,25.12,8,92
18,90,25.12,9,91
18,90,25.12,9,91
18,92,25.12,9,91
18,92,25.12,9,91
18,92,25.12,9,91
18,92,25.12,9,91
18,90,25.12,9,91
18,90,25.12,9,91
18,90,25.12,9,91
18,90,25.12,9,91
18,90,25.12,10,90
18,90,25.12,10,90
17,93,25.12,10,90
17,93,25.12,10,90
17,92,25.12,10,90
17,92,25.12,10,90
17,92,25.12,10,90
17,92,25.12,10,90
18,90,25.12,10,90
18,90,25.12,10,90
18,90,25.12,11,89
18,90,25.12,11,89
17,93,25.12,11,89
17,93,25.12,11,89
17,92,25.12,11,89
17,92,25.12,11,89
17,92,25.12,11,89
17,92,25.12,11,89
17,92,25.12,11,89
17,92,25.12,11,89
17,92,25.12,12,88
17,92,25.12,12,88
17,93,25.12,12,88
17,93,25.12,12,88
17,92,25.12,12,88
17,92,25.12,12,88
